ID,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings,Shell_humidity_weight
350,F,0.56,0.465,0.16,1.0315,0.432,0.2025,0.337,9,0.263
351,M,0.585,0.455,0.145,0.953,0.3945,0.2685,0.258,10,0.3
352,M,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16,0.096
353,F,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,7,0.095
354,F,0.56,0.435,0.185,1.106,0.422,0.2435,0.33,15,0.354
355,M,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7,0.054
356,F,0.655,0.515,0.155,1.309,0.524,0.346,0.385,11,0.4
357,M,0.58,0.455,0.15,1.114,0.4765,0.2155,0.265,8,0.373
358,I,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,7,0.134
359,I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7,0.041
360,F,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17,0.497
361,M,0.67,0.525,0.17,1.4005,0.715,0.3025,0.387,9,0.299
362,M,0.6,0.495,0.175,1.29,0.606,0.276,0.3445,11,0.34
363,I,0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,10,0.3
364,I,0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,9,0.217
365,I,0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215,9,0.183
366,F,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,10,0.312
367,I,0.505,0.39,0.185,0.6125,0.267,0.142,0.172,7,0.174
368,M,0.56,0.425,0.135,0.849,0.3265,0.221,0.2645,10,0.258
369,F,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9,0.236
370,F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10,0.295
371,I,0.46,0.36,0.1,0.4635,0.2325,0.093,0.115,7,0.116
372,M,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10,0.206
373,M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9,0.106
374,I,0.325,0.25,0.08,0.176,0.0595,0.0355,0.063,7,0.053
375,M,0.62,0.5,0.2,1.221,0.4605,0.263,0.43,12,0.331
376,M,0.505,0.39,0.115,0.5585,0.2575,0.119,0.1535,8,0.147
377,I,0.465,0.375,0.12,0.471,0.222,0.119,0.14,9,0.109
378,F,0.655,0.52,0.2,1.5475,0.713,0.314,0.466,9,0.369
379,F,0.475,0.365,0.115,0.566,0.281,0.117,0.1335,7,0.151
380,M,0.575,0.455,0.155,1.013,0.4685,0.2085,0.295,11,0.249
381,M,0.625,0.5,0.17,1.0985,0.4645,0.22,0.354,9,0.28
382,F,0.675,0.565,0.195,1.8375,0.7645,0.3615,0.553,12,0.52
383,I,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14,8,0.12
384,F,0.435,0.35,0.125,0.459,0.197,0.1145,0.145,9,0.117
385,M,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,10,0.064
386,M,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9,0.206
387,M,0.655,0.535,0.205,1.6445,0.7305,0.3595,0.46,13,0.454
388,F,0.575,0.46,0.145,0.9945,0.466,0.229,0.265,7,0.263
389,M,0.5,0.375,0.15,0.636,0.2535,0.145,0.19,10,0.193
390,M,0.495,0.4,0.135,0.61,0.272,0.1435,0.144,7,0.194
391,F,0.465,0.35,0.13,0.494,0.1945,0.103,0.155,18,0.144
392,F,0.66,0.515,0.18,1.523,0.54,0.3365,0.555,16,0.428
393,I,0.36,0.27,0.085,0.196,0.0905,0.034,0.053,7,0.053
394,M,0.69,0.505,0.2,1.872,0.893,0.4015,0.48,10,0.499
395,M,0.6,0.475,0.205,1.176,0.5255,0.2875,0.308,9,0.342
396,M,0.69,0.525,0.2,1.7825,0.9165,0.3325,0.461,12,0.405
397,F,0.655,0.525,0.175,1.348,0.5855,0.2605,0.394,10,0.369
398,I,0.43,0.345,0.115,0.4295,0.212,0.108,0.109,8,0.108
399,F,0.62,0.485,0.175,1.2155,0.545,0.253,0.345,10,0.326
400,M,0.505,0.39,0.12,0.653,0.3315,0.1385,0.167,9,0.154
401,I,0.39,0.29,0.09,0.2625,0.117,0.054,0.077,7,0.069
402,M,0.61,0.49,0.16,1.112,0.465,0.228,0.341,10,0.306
403,I,0.34,0.26,0.085,0.1885,0.0815,0.0335,0.06,6,0.047
404,F,0.705,0.535,0.18,1.685,0.693,0.42,0.4045,12,0.588
405,I,0.49,0.365,0.125,0.5585,0.252,0.126,0.1615,10,0.145
406,F,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,11,0.317
407,F,0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675,10,0.272
408,M,0.465,0.375,0.11,0.5,0.21,0.113,0.1505,8,0.14
409,M,0.54,0.435,0.14,0.7345,0.33,0.1595,0.213,9,0.192
410,I,0.435,0.335,0.11,0.383,0.1555,0.0675,0.135,12,0.092
411,M,0.575,0.465,0.12,1.0535,0.516,0.2185,0.235,9,0.303
412,I,0.46,0.355,0.11,0.436,0.1975,0.096,0.125,8,0.113
413,I,0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6,0.093
414,M,0.66,0.53,0.17,1.3905,0.5905,0.212,0.453,15,0.347
415,I,0.35,0.265,0.08,0.2,0.09,0.042,0.06,7,0.05
416,I,0.55,0.415,0.15,0.7915,0.3535,0.176,0.236,10,0.202
417,F,0.635,0.5,0.175,1.477,0.684,0.3005,0.39,12,0.403
418,F,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,10,0.269
419,I,0.43,0.32,0.1,0.3465,0.1635,0.08,0.09,7,0.093
420,F,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,10,0.397
421,I,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,6,0.04
422,M,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,17,0.272
423,I,0.54,0.42,0.14,0.7265,0.3205,0.1445,0.229,9,0.177
424,I,0.48,0.335,0.125,0.524,0.246,0.1095,0.145,7,0.133
425,M,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12,0.188
426,M,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9,0.206
427,F,0.57,0.44,0.19,1.018,0.447,0.207,0.265,9,0.306
428,I,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,5,0.017
429,M,0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,7,0.109
430,M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11,0.131
431,I,0.235,0.18,0.06,0.058,0.022,0.0145,0.018,6,0.018
432,I,0.465,0.37,0.11,0.445,0.1635,0.096,0.166,7,0.115
433,M,0.57,0.45,0.135,1.02,0.546,0.204,0.25,9,0.224
434,F,0.57,0.45,0.15,0.9645,0.531,0.189,0.209,9,0.225
435,M,0.66,0.485,0.155,1.2275,0.61,0.274,0.3,8,0.318
436,M,0.525,0.4,0.14,0.7325,0.334,0.1575,0.17,11,0.229
437,M,0.695,0.55,0.22,1.5515,0.566,0.3835,0.445,13,0.541
438,M,0.545,0.45,0.15,0.8795,0.387,0.15,0.2625,11,0.23
439,I,0.35,0.25,0.1,0.4015,0.1725,0.063,0.1255,7,0.104
440,I,0.37,0.28,0.09,0.2565,0.1255,0.0645,0.0645,6,0.067
441,I,0.485,0.36,0.12,0.5155,0.2465,0.1025,0.147,8,0.122
442,I,0.42,0.32,0.1,0.34,0.1745,0.05,0.0945,8,0.071
443,M,0.655,0.505,0.165,1.27,0.6035,0.262,0.335,10,0.331
444,I,0.41,0.325,0.105,0.361,0.1605,0.0665,0.103,8,0.097
445,F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,0.26
446,F,0.595,0.465,0.14,1.113,0.5175,0.244,0.305,12,0.291
447,M,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,10,0.111
448,I,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6,0.055
449,M,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,16,0.247
450,I,0.57,0.445,0.145,0.7405,0.306,0.172,0.1825,12,0.252
451,M,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115,8,0.079
452,M,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186,7,0.194
453,M,0.505,0.39,0.105,0.6555,0.2595,0.18,0.19,11,0.206
454,F,0.55,0.435,0.17,0.884,0.2875,0.1645,0.28,14,0.317
455,M,0.675,0.52,0.145,1.3645,0.557,0.3405,0.385,11,0.422
456,M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10,0.274
457,F,0.595,0.485,0.145,1.2515,0.5035,0.2925,0.33,14,0.418
458,I,0.34,0.25,0.075,0.1765,0.0785,0.0405,0.05,7,0.048
459,M,0.64,0.495,0.17,1.139,0.5395,0.282,0.285,10,0.315
460,I,0.58,0.42,0.16,0.728,0.2725,0.19,0.19,14,0.265
461,I,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,8,0.142
462,F,0.505,0.4,0.165,0.729,0.2675,0.155,0.25,9,0.211
463,F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13,0.262
464,M,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225,8,0.201
465,I,0.435,0.335,0.11,0.383,0.1555,0.0675,0.135,12,0.092
466,F,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,14,0.384
467,I,0.39,0.29,0.09,0.2625,0.117,0.054,0.077,7,0.069
468,M,0.475,0.375,0.125,0.593,0.277,0.115,0.18,10,0.136
469,I,0.435,0.3,0.12,0.5965,0.259,0.139,0.1645,8,0.173
470,F,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398,11,0.402
471,I,0.515,0.35,0.105,0.4745,0.213,0.123,0.1275,10,0.134
472,M,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,20,0.426
473,M,0.525,0.405,0.135,0.7575,0.3305,0.216,0.195,10,0.232
474,I,0.55,0.43,0.145,0.7895,0.3745,0.171,0.223,11,0.192
475,M,0.59,0.48,0.16,1.262,0.5685,0.2725,0.335,9,0.358
476,M,0.59,0.405,0.15,0.853,0.326,0.2615,0.245,9,0.282
477,M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9,0.044
478,F,0.61,0.45,0.16,1.136,0.414,0.311,0.3,9,0.422
479,I,0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545,10,0.172
480,I,0.54,0.415,0.155,0.702,0.322,0.167,0.19,10,0.19
481,F,0.455,0.36,0.11,0.4385,0.206,0.098,0.125,10,0.108
482,M,0.55,0.42,0.17,0.8465,0.336,0.2405,0.245,13,0.265
483,I,0.355,0.26,0.09,0.1925,0.077,0.038,0.065,8,0.051
484,F,0.62,0.435,0.155,1.012,0.477,0.236,0.275,8,0.26
485,I,0.34,0.245,0.085,0.2015,0.1005,0.038,0.053,6,0.048
486,I,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8,0.054
487,M,0.69,0.55,0.2,1.8465,0.732,0.472,0.57,19,0.545
488,M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8,0.061
489,I,0.52,0.425,0.17,0.6805,0.28,0.174,0.195,10,0.205
490,I,0.25,0.18,0.06,0.073,0.028,0.017,0.0225,5,0.022
491,M,0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,9,0.223
492,I,0.51,0.385,0.15,0.625,0.3095,0.119,0.1725,8,0.143
493,I,0.54,0.42,0.14,0.7265,0.3205,0.1445,0.229,9,0.177
494,I,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,14,0.193
495,I,0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147,6,0.118
496,M,0.7,0.54,0.205,1.74,0.7885,0.373,0.4865,13,0.465
497,I,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,7,0.061
498,M,0.64,0.51,0.19,1.613,0.6215,0.361,0.47,14,0.521
499,F,0.58,0.425,0.15,0.844,0.3645,0.185,0.2705,9,0.209
500,F,0.57,0.45,0.17,1.098,0.414,0.187,0.405,20,0.279
501,I,0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086,7,0.091
502,I,0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185,6,0.085
503,F,0.625,0.525,0.195,1.352,0.4505,0.2445,0.53,13,0.372
504,F,0.64,0.495,0.17,1.2265,0.49,0.377,0.2875,11,0.449
505,F,0.6,0.455,0.145,0.8895,0.419,0.1715,0.269,10,0.201
506,F,0.75,0.565,0.215,1.938,0.7735,0.4825,0.575,11,0.589
507,I,0.55,0.445,0.125,0.672,0.288,0.1365,0.21,11,0.174
508,F,0.465,0.35,0.13,0.494,0.1945,0.103,0.155,18,0.144
509,M,0.56,0.455,0.165,0.86,0.4015,0.1695,0.245,11,0.213
510,I,0.37,0.28,0.095,0.2865,0.1505,0.069,0.0795,7,0.056
511,I,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8,0.1
512,I,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4,0.005
513,F,0.47,0.375,0.105,0.513,0.232,0.142,0.13,11,0.151
514,M,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,12,0.269
515,I,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8,0.1
516,M,0.67,0.525,0.2,1.7405,0.6205,0.297,0.657,11,0.463
517,M,0.57,0.45,0.145,0.95,0.4005,0.2235,0.2845,10,0.265
518,M,0.56,0.425,0.135,0.9415,0.509,0.2015,0.1975,9,0.235
519,M,0.535,0.405,0.14,0.818,0.402,0.1715,0.189,7,0.227
520,M,0.59,0.5,0.15,1.142,0.485,0.265,0.345,9,0.312
521,M,0.375,0.3,0.1,0.2465,0.104,0.0475,0.083,11,0.06
522,M,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115,8,0.079
523,I,0.525,0.4,0.125,0.5655,0.2435,0.119,0.175,8,0.147
524,I,0.495,0.375,0.14,0.494,0.181,0.0975,0.191,8,0.122
525,I,0.575,0.45,0.145,0.795,0.364,0.1505,0.26,10,0.171
526,F,0.565,0.44,0.15,0.863,0.435,0.149,0.27,9,0.158
527,M,0.595,0.475,0.165,1.213,0.621,0.2435,0.274,9,0.318
528,M,0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,9,0.239
529,M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10,0.274
530,M,0.765,0.6,0.22,2.302,1.007,0.509,0.6205,12,0.675
531,I,0.43,0.34,0.125,0.384,0.1375,0.061,0.146,14,0.101
532,F,0.64,0.52,0.175,1.248,0.4245,0.2595,0.48,12,0.344
533,F,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12,0.486
534,I,0.46,0.345,0.105,0.415,0.187,0.087,0.11,8,0.118
535,M,0.525,0.425,0.12,0.702,0.3335,0.1465,0.22,12,0.148
536,M,0.545,0.41,0.14,0.737,0.349,0.15,0.212,9,0.176
537,I,0.415,0.31,0.105,0.3595,0.167,0.083,0.0915,6,0.101
538,I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7,0.121
539,I,0.245,0.175,0.055,0.0785,0.04,0.018,0.02,5,0.018
540,F,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935,8,0.075
541,M,0.65,0.51,0.155,1.407,0.7215,0.298,0.335,9,0.35
542,F,0.7,0.575,0.2,1.7365,0.7755,0.3965,0.461,11,0.5
543,I,0.47,0.355,0.12,0.393,0.167,0.0885,0.115,8,0.111
544,F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13,0.329
545,I,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,6,0.059
546,F,0.55,0.43,0.15,0.655,0.2635,0.122,0.221,8,0.171
547,F,0.41,0.315,0.11,0.321,0.1255,0.0655,0.095,10,0.101
548,M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15,0.515
549,F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14,0.207
550,I,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,17,0.338
551,I,0.415,0.325,0.1,0.385,0.167,0.08,0.125,7,0.093
552,I,0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,6,0.033
553,F,0.71,0.56,0.18,1.652,0.735,0.381,0.4525,11,0.464
554,F,0.65,0.565,0.2,1.6645,0.753,0.367,0.43,12,0.482
555,F,0.625,0.48,0.2,1.3235,0.6075,0.3055,0.355,9,0.361
556,M,0.34,0.265,0.085,0.1835,0.077,0.046,0.065,10,0.041
557,M,0.725,0.575,0.24,2.21,1.351,0.413,0.5015,13,0.358
558,F,0.375,0.295,0.11,0.3005,0.1255,0.0575,0.1035,7,0.071
559,M,0.565,0.435,0.185,0.9815,0.329,0.136,0.39,13,0.263
560,I,0.225,0.17,0.05,0.0515,0.019,0.012,0.017,4,0.015
561,I,0.475,0.36,0.125,0.4905,0.205,0.1305,0.125,8,0.16
562,M,0.53,0.425,0.11,0.739,0.237,0.161,0.295,13,0.207
563,I,0.235,0.17,0.065,0.0625,0.023,0.014,0.022,6,0.018
564,I,0.5,0.37,0.12,0.5445,0.249,0.1065,0.152,8,0.143
565,I,0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253,8,0.241
566,I,0.39,0.3,0.095,0.3265,0.1665,0.0575,0.089,7,0.071
567,F,0.635,0.49,0.155,1.145,0.4775,0.3035,0.3155,9,0.352
568,M,0.575,0.465,0.15,1.08,0.595,0.2065,0.238,9,0.247
569,M,0.61,0.48,0.17,1.137,0.4565,0.29,0.347,10,0.334
570,F,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565,10,0.642
571,F,0.67,0.52,0.195,1.8065,0.758,0.3735,0.5055,11,0.543
572,I,0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855,9,0.145
573,M,0.645,0.505,0.15,1.1605,0.519,0.2615,0.335,10,0.307
574,I,0.475,0.355,0.135,0.4775,0.2145,0.09,0.1435,8,0.12
575,I,0.32,0.235,0.09,0.183,0.098,0.0335,0.042,7,0.043
576,F,0.745,0.585,0.19,1.966,0.8435,0.437,0.5855,18,0.537
577,M,0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,7,0.109
578,F,0.63,0.51,0.185,1.235,0.5115,0.349,0.3065,11,0.417
579,I,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,9,0.138
580,I,0.355,0.275,0.09,0.251,0.097,0.053,0.08,7,0.074
581,F,0.67,0.515,0.17,1.4265,0.6605,0.3395,0.37,11,0.396
582,I,0.315,0.235,0.07,0.149,0.058,0.0325,0.047,7,0.044
583,I,0.415,0.315,0.09,0.3625,0.175,0.0835,0.093,6,0.095
584,M,0.615,0.53,0.17,1.12,0.5775,0.2095,0.286,9,0.257
585,F,0.64,0.495,0.17,1.2265,0.49,0.377,0.2875,11,0.449
586,M,0.72,0.57,0.2,1.8275,0.919,0.366,0.485,10,0.423
587,I,0.575,0.445,0.16,0.9175,0.45,0.1935,0.24,9,0.227
588,I,0.37,0.29,0.1,0.25,0.1025,0.0505,0.085,10,0.063
589,F,0.49,0.37,0.105,0.5265,0.249,0.1005,0.148,7,0.129
590,M,0.625,0.495,0.155,1.0485,0.487,0.212,0.3215,11,0.24
591,M,0.645,0.525,0.16,1.5075,0.7455,0.245,0.4325,11,0.33
592,I,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006,4,0.006
593,M,0.6,0.465,0.155,1.262,0.6245,0.2455,0.33,10,0.307
594,I,0.48,0.39,0.15,0.6275,0.276,0.134,0.185,13,0.166
595,M,0.565,0.455,0.155,0.9355,0.421,0.183,0.26,11,0.254
596,M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12,0.295
597,I,0.44,0.335,0.115,0.4215,0.173,0.0765,0.113,7,0.136
598,I,0.475,0.35,0.115,0.498,0.2375,0.099,0.14,7,0.12
599,F,0.52,0.41,0.17,0.8705,0.3735,0.219,0.25,14,0.247
600,M,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8,0.078
601,M,0.49,0.355,0.155,0.981,0.465,0.2015,0.2505,8,0.266
602,I,0.62,0.48,0.18,1.1305,0.5285,0.2655,0.306,12,0.296
603,M,0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,10,0.359
604,M,0.77,0.6,0.215,2.1945,1.0515,0.482,0.584,10,0.559
605,M,0.585,0.46,0.165,1.1135,0.5825,0.2345,0.274,10,0.257
606,I,0.37,0.28,0.095,0.2865,0.1505,0.069,0.0795,7,0.056
607,F,0.51,0.38,0.13,0.584,0.224,0.1355,0.185,13,0.175
608,M,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,10,0.353
609,M,0.575,0.46,0.155,0.892,0.4415,0.176,0.22,10,0.231
610,I,0.4,0.31,0.1,0.306,0.13,0.06,0.094,6,0.082
611,F,0.49,0.37,0.14,0.585,0.243,0.115,0.195,10,0.147
612,F,0.625,0.525,0.195,1.352,0.4505,0.2445,0.53,13,0.372
613,I,0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575,7,0.047
614,M,0.63,0.515,0.17,1.385,0.6355,0.2955,0.38,11,0.37
615,I,0.655,0.515,0.145,1.25,0.5265,0.283,0.315,15,0.409
616,M,0.575,0.47,0.15,0.9785,0.4505,0.196,0.276,9,0.252
617,I,0.575,0.455,0.16,0.9895,0.495,0.195,0.246,9,0.249
618,F,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12,0.107
619,I,0.32,0.25,0.08,0.1565,0.057,0.034,0.06,9,0.04
620,I,0.385,0.305,0.095,0.252,0.0915,0.055,0.09,14,0.071
621,M,0.62,0.46,0.17,1.127,0.535,0.2635,0.296,7,0.296
622,I,0.48,0.37,0.12,0.536,0.251,0.114,0.15,8,0.135
623,F,0.64,0.49,0.18,1.36,0.653,0.347,0.305,9,0.402
624,F,0.625,0.515,0.18,1.3485,0.5255,0.252,0.3925,14,0.431
625,F,0.53,0.42,0.17,0.828,0.41,0.208,0.1505,6,0.267
626,I,0.44,0.32,0.105,0.3875,0.1755,0.074,0.12,9,0.092
627,M,0.515,0.435,0.145,0.8815,0.292,0.206,0.255,10,0.334
628,I,0.44,0.34,0.105,0.369,0.164,0.08,0.1015,5,0.103
629,I,0.61,0.465,0.125,0.9225,0.436,0.19,0.26,9,0.226
630,F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9,0.123
631,F,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335,16,0.157
632,I,0.54,0.42,0.14,0.7265,0.3205,0.1445,0.229,9,0.177
633,F,0.5,0.405,0.15,0.5965,0.253,0.126,0.185,12,0.159
634,F,0.52,0.425,0.145,0.7,0.207,0.1905,0.24,13,0.253
635,F,0.64,0.505,0.175,1.3185,0.6185,0.302,0.3315,9,0.368
636,I,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,12,0.132
637,F,0.495,0.37,0.12,0.594,0.28,0.11,0.1375,7,0.176
638,M,0.605,0.5,0.175,1.098,0.4765,0.232,0.375,12,0.247
639,F,0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165,6,0.141
640,M,0.625,0.48,0.145,1.085,0.4645,0.2445,0.327,10,0.293
641,F,0.595,0.47,0.155,1.1775,0.542,0.269,0.31,9,0.325
642,I,0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6,0.093
643,F,0.525,0.415,0.15,0.7155,0.2355,0.171,0.27,13,0.21
644,I,0.43,0.34,0.0,0.428,0.2065,0.086,0.115,8,0.106
645,I,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,6,0.054
646,F,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,12,0.189
647,F,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10,0.312
648,F,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12,0.107
649,M,0.51,0.41,0.145,0.796,0.3865,0.1815,0.1955,8,0.214
650,F,0.635,0.5,0.165,1.4595,0.705,0.2645,0.39,9,0.365
651,M,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,16,0.227
652,F,0.58,0.425,0.155,0.873,0.3615,0.249,0.239,10,0.273
653,F,0.55,0.43,0.15,0.84,0.395,0.195,0.223,8,0.222
654,F,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,16,0.341
655,M,0.56,0.43,0.145,0.8995,0.464,0.1775,0.234,9,0.201
656,M,0.735,0.57,0.175,1.88,0.9095,0.387,0.488,11,0.482
657,I,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,6,0.03
658,M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14,0.176
659,F,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,10,0.159
660,I,0.55,0.42,0.155,0.912,0.495,0.1805,0.205,9,0.212
661,I,0.54,0.395,0.135,0.6555,0.2705,0.155,0.192,9,0.193
662,F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11,0.186
663,F,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,10,0.397
664,M,0.58,0.43,0.13,0.798,0.365,0.173,0.2285,10,0.205
665,M,0.5,0.415,0.165,0.6885,0.249,0.138,0.25,13,0.19
666,M,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,10,0.412
667,I,0.39,0.285,0.1,0.281,0.1275,0.062,0.077,7,0.077
668,M,0.59,0.465,0.14,1.046,0.4695,0.263,0.263,7,0.314
669,M,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,14,0.302
670,I,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,4,0.013
671,F,0.475,0.38,0.145,0.57,0.167,0.118,0.187,11,0.216
672,M,0.64,0.53,0.165,1.1895,0.4765,0.3,0.35,11,0.363
673,F,0.665,0.525,0.21,1.644,0.818,0.3395,0.4275,10,0.398
674,I,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,12,0.131
675,I,0.59,0.46,0.125,0.755,0.334,0.15,0.238,9,0.183
676,M,0.51,0.38,0.135,0.681,0.3435,0.142,0.17,9,0.168
677,M,0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,11,0.078
678,M,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,16,0.324
679,I,0.305,0.215,0.065,0.1075,0.044,0.0205,0.038,5,0.026
680,M,0.55,0.435,0.16,0.906,0.342,0.219,0.295,13,0.269
681,M,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,11,0.048
682,M,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,4,0.019
683,I,0.405,0.29,0.09,0.2825,0.112,0.075,0.0815,7,0.089
684,F,0.61,0.5,0.18,1.438,0.5185,0.3735,0.3345,9,0.585
685,I,0.365,0.265,0.135,0.2215,0.105,0.047,0.0605,7,0.056
686,F,0.575,0.45,0.135,0.8285,0.362,0.1655,0.236,10,0.231
687,M,0.655,0.525,0.16,1.46,0.686,0.311,0.405,11,0.369
688,M,0.735,0.57,0.175,1.88,0.9095,0.387,0.488,11,0.482
689,M,0.58,0.465,0.175,1.035,0.401,0.1865,0.385,17,0.249
690,M,0.58,0.445,0.16,0.984,0.49,0.201,0.27,9,0.224
691,F,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,9,0.251
692,F,0.615,0.525,0.155,1.0385,0.427,0.2315,0.345,11,0.266
693,F,0.635,0.495,0.175,1.2355,0.5205,0.3085,0.347,10,0.368
694,F,0.57,0.435,0.14,0.8585,0.3905,0.196,0.2295,8,0.239
695,M,0.49,0.38,0.14,0.7605,0.245,0.167,0.185,10,0.33
696,M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9,0.106
697,F,0.64,0.475,0.175,1.1545,0.4865,0.341,0.288,9,0.38
698,I,0.54,0.42,0.14,0.6665,0.3125,0.138,0.1895,10,0.164
699,M,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,16,0.281
